iter	Passed	Remaining
185	848	3715
186	851	3700
187	858	3708
188	860	3692
189	862	3677
190	864	3660
191	866	3645
192	867	3628
193	869	3613
194	871	3597
195	873	3582
196	875	3567
197	877	3552
198	879	3538
199	880	3523
200	882	3509
201	884	3495
202	886	3482
203	888	3468
204	890	3454
205	892	3441
206	895	3429
207	897	3416
208	900	3407
209	902	3393
210	903	3379
211	905	3365
212	907	3353
213	909	3340
214	911	3327
215	912	3313
216	914	3300
217	916	3286
218	918	3274
219	920	3263
220	922	3250
221	924	3238
222	925	3226
223	927	3214
224	929	3201
225	931	3188
226	932	3175
227	934	3165
228	936	3153
229	938	3141
230	939	3129
231	941	3116
232	943	3104
233	944	3092
234	946	3081
235	948	3069
236	949	3058
237	951	3046
238	953	3035
239	956	3027
240	957	3016
241	959	3005
242	961	2995
243	963	2984
244	964	2973
245	966	2963
246	968	2952
247	970	2941
248	971	2930
249	973	2919
250	975	2909
251	976	2899
252	978	2889
253	980	2879
254	982	2870
255	984	2861
256	986	2851
257	988	2842
258	990	2832
259	992	2824
260	994	2814
261	995	2804
262	997	2795
263	999	2786
264	1001	2776
265	1002	2767
266	1004	2758
267	1006	2749
268	1008	2740
269	1010	2731
270	1012	2723
271	1014	2714
272	1015	2705
273	1017	2696
274	1019	2688
275	1021	2680
276	1023	2671
277	1025	2662
278	1027	2654
279	1028	2645
280	1030	2637
281	1032	2628
282	1033	2619
283	1035	2611
284	1037	2603
285	1039	2595
286	1041	2587
287	1043	2579
288	1045	2570
289	1046	2562
290	1048	2555
291	1050	2546
292	1054	2544
293	1056	2536
294	1059	2532
295	1064	2530
296	1071	2535
297	1074	2530
298	1078	2527
299	1081	2522
300	1084	2519
301	1088	2515
302	1093	2514
303	1095	2509
304	1099	2504
305	1101	2499
306	1107	2500
307	1110	2493
308	1113	2489
309	1114	2481
310	1117	2474
311	1119	2468
312	1121	2461
313	1124	2455
314	1126	2449
315	1128	2442
316	1130	2434
317	1132	2428
318	1135	2423
319	1137	2417
320	1139	2411
321	1141	2404
322	1144	2397
323	1146	2392
324	1148	2386
325	1151	2381
326	1157	2382
327	1159	2376
328	1164	2375
329	1166	2368
330	1168	2361
331	1171	2358
332	1173	2350
333	1174	2342
334	1176	2335
335	1178	2328
336	1179	2320
337	1181	2313
338	1182	2306
339	1184	2299
340	1188	2296
341	1189	2288
342	1191	2282
343	1193	2275
344	1195	2268
345	1196	2261
346	1198	2254
347	1199	2248
348	1201	2241
349	1203	2234
350	1204	2227
351	1206	2221
352	1208	2214
353	1209	2207
354	1211	2200
355	1212	2193
356	1214	2187
357	1216	2181
358	1218	2175
359	1220	2169
360	1222	2164
361	1224	2157
362	1226	2151
363	1227	2144
364	1228	2138
365	1230	2131
366	1231	2124
367	1233	2118
368	1234	2111
369	1236	2106
370	1238	2099
371	1239	2093
372	1241	2086
373	1242	2080
374	1244	2074
375	1246	2068
376	1248	2062
377	1249	2055
378	1251	2050
379	1252	2044
380	1254	2037
381	1255	2031
382	1257	2025
383	1258	2019
384	1260	2013
385	1261	2006
386	1263	2001
387	1264	1995
388	1266	1989
389	1267	1982
390	1269	1976
391	1270	1971
392	1272	1965
393	1274	1960
394	1277	1956
395	1279	1950
396	1281	1945
397	1283	1940
398	1284	1935
399	1286	1930
400	1288	1924
401	1290	1919
402	1291	1913
403	1293	1908
404	1295	1903
405	1296	1897
406	1298	1892
407	1300	1886
408	1301	1880
409	1303	1875
410	1304	1870
411	1306	1864
412	1307	1858
413	1309	1853
414	1310	1847
415	1312	1841
416	1313	1836
417	1314	1830
418	1316	1825
419	1318	1820
420	1319	1814
421	1320	1809
422	1322	1803
423	1324	1799
424	1326	1794
425	1327	1788
426	1329	1783
427	1330	1778
428	1331	1772
429	1333	1767
430	1335	1762
